2019-02-28 05:01:47 startup packages configure
2019-02-28 05:01:47 configure debian-archive-keyring:all 2018.1 <none>
2019-02-28 05:01:47 status unpacked debian-archive-keyring:all 2018.1
2019-02-28 05:01:47 status half-configured debian-archive-keyring:all 2018.1
2019-02-28 05:01:48 status installed debian-archive-keyring:all 2018.1
2019-02-28 05:01:48 configure libaudit-common:all 1:2.8.4-2 <none>
2019-02-28 05:01:48 status unpacked libaudit-common:all 1:2.8.4-2
2019-02-28 05:01:48 status half-configured libaudit-common:all 1:2.8.4-2
2019-02-28 05:01:48 status installed libaudit-common:all 1:2.8.4-2
2019-02-28 05:01:48 configure libsemanage-common:all 2.8-2 <none>
2019-02-28 05:01:48 status unpacked libsemanage-common:all 2.8-2
2019-02-28 05:01:48 status half-configured libsemanage-common:all 2.8-2
2019-02-28 05:01:48 status installed libsemanage-common:all 2.8-2
2019-02-28 05:01:48 configure ncurses-base:all 6.1+20181013-2 <none>
2019-02-28 05:01:48 status unpacked ncurses-base:all 6.1+20181013-2
2019-02-28 05:01:48 status half-configured ncurses-base:all 6.1+20181013-2
2019-02-28 05:01:48 status installed ncurses-base:all 6.1+20181013-2
2019-02-28 05:01:48 configure gcc-8-base:arm64 8.2.0-21 <none>
2019-02-28 05:01:48 status unpacked gcc-8-base:arm64 8.2.0-21
2019-02-28 05:01:48 status half-configured gcc-8-base:arm64 8.2.0-21
2019-02-28 05:01:48 status installed gcc-8-base:arm64 8.2.0-21
2019-02-28 05:01:48 configure libc6:arm64 2.28-2 <none>
2019-02-28 05:01:48 status unpacked libc6:arm64 2.28-2
2019-02-28 05:01:49 status half-configured libc6:arm64 2.28-2
2019-02-28 05:01:50 status installed libc6:arm64 2.28-2
2019-02-28 05:01:50 configure libudev1:arm64 240-6 <none>
2019-02-28 05:01:50 status unpacked libudev1:arm64 240-6
2019-02-28 05:01:50 status half-configured libudev1:arm64 240-6
2019-02-28 05:01:50 status installed libudev1:arm64 240-6
2019-02-28 05:01:50 configure libsepol1:arm64 2.8-1 <none>
2019-02-28 05:01:50 status unpacked libsepol1:arm64 2.8-1
2019-02-28 05:01:50 status half-configured libsepol1:arm64 2.8-1
2019-02-28 05:01:50 status installed libsepol1:arm64 2.8-1
2019-02-28 05:01:50 configure libattr1:arm64 1:2.4.47-4 <none>
2019-02-28 05:01:50 status unpacked libattr1:arm64 1:2.4.47-4
2019-02-28 05:01:50 status half-configured libattr1:arm64 1:2.4.47-4
2019-02-28 05:01:50 status installed libattr1:arm64 1:2.4.47-4
2019-02-28 05:01:50 configure libtasn1-6:arm64 4.13-3 <none>
2019-02-28 05:01:50 status unpacked libtasn1-6:arm64 4.13-3
2019-02-28 05:01:50 status half-configured libtasn1-6:arm64 4.13-3
2019-02-28 05:01:50 status installed libtasn1-6:arm64 4.13-3
2019-02-28 05:01:50 configure debianutils:arm64 4.8.6.1 <none>
2019-02-28 05:01:50 status unpacked debianutils:arm64 4.8.6.1
2019-02-28 05:01:50 status half-configured debianutils:arm64 4.8.6.1
2019-02-28 05:01:51 status installed debianutils:arm64 4.8.6.1
2019-02-28 05:01:51 configure mawk:arm64 1.3.3-17+b3 <none>
2019-02-28 05:01:51 status unpacked mawk:arm64 1.3.3-17+b3
2019-02-28 05:01:51 status half-configured mawk:arm64 1.3.3-17+b3
2019-02-28 05:01:51 status installed mawk:arm64 1.3.3-17+b3
2019-02-28 05:01:51 configure libdebconfclient0:arm64 0.247 <none>
2019-02-28 05:01:51 status unpacked libdebconfclient0:arm64 0.247
2019-02-28 05:01:51 status half-configured libdebconfclient0:arm64 0.247
2019-02-28 05:01:51 status installed libdebconfclient0:arm64 0.247
2019-02-28 05:01:51 configure base-files:arm64 1:2019.1.1 <none>
2019-02-28 05:01:51 status unpacked base-files:arm64 1:2019.1.1
2019-02-28 05:01:52 status half-configured base-files:arm64 1:2019.1.1
2019-02-28 05:01:52 status installed base-files:arm64 1:2019.1.1
2019-02-28 05:01:52 configure libbz2-1.0:arm64 1.0.6-9 <none>
2019-02-28 05:01:52 status unpacked libbz2-1.0:arm64 1.0.6-9
2019-02-28 05:01:52 status half-configured libbz2-1.0:arm64 1.0.6-9
2019-02-28 05:01:52 status installed libbz2-1.0:arm64 1.0.6-9
2019-02-28 05:01:52 configure base-passwd:arm64 3.5.46 <none>
2019-02-28 05:01:52 status unpacked base-passwd:arm64 3.5.46
2019-02-28 05:01:52 status half-configured base-passwd:arm64 3.5.46
2019-02-28 05:01:53 status installed base-passwd:arm64 3.5.46
2019-02-28 05:01:53 configure libdb5.3:arm64 5.3.28+dfsg1-0.3 <none>
2019-02-28 05:01:53 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.3
2019-02-28 05:01:53 status half-configured libdb5.3:arm64 5.3.28+dfsg1-0.3
